Catalog SKU,Catalog Item Name,Export SKU,Export Item Name,Match Type,Source Location,Source Current Quantity Column,Seeded New Quantity Column,Seeded Quantity
5750,304SS HEX BUSHING 3/4MPT X 1/2FPT 150#,5750,"5750- Hex Bushing 3/4"" MPT x 1/2"" FPT",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,4
5771,"304SS NIPPLE 1/4"" X 2.5"" SCH. 40",5771,"5771- 1/4"" x 2.5"" MPT X MPT Nipple",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,5
5788,304SS HEX BUSHING 3/4 MPT X 1/4 FPT 150#,5788,"5788- Hex Bushing 3/4"" MPT x 1/4"" FPT",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,6
5979,"SWIVEL KIT FOR COX 439 1/2"" X 3/8"" SWIVEL",5979,"5979- Cox 439-1 Swivel Repair Kit (1/2"")",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-2
6168,55.153 MOSMATIC DYC CARBIDE SWIVEL 3/8FPT X 3/8MPT,6168,6168- Mosmatic 3/8FPT x 3/8MPT DYC Swivel 55.153,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
6244,"PA BRASS SWIVEL 3/8"" M/F 4050 PSI",6244,6244- In- Line Swivel 3/8 F x 3/8 M,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-2
6292,(50)BALL VALVE 3050PSI 3/8 FPT NICKEL PLATED,6292,6292- DN10 Heavy Duty Nickel Plated Brass Ball Valve 3/8,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-20
6329,"(20)DELUXIFIED CLASSIC 19"" SURFACE CLEANER",6329,"6329- Whisper Wash Classic 19"" 4-10gpm / 2000 -4000psi / 212 Deg F Max",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
6401,2660086 COLLET ASSY FOR 3RD SECTION OF 24' TELE-WA,6401,6401- Stainless Steel Plug - 1/4FPT,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,15
6456,ST-456 4.0 ROTARY NOZZLE 5000 PSI BROWN,6456,6456- ST456 Turbo Nozzle 4.0 gpm,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
6987,(50)RUPTURE DISK 7000PSI 225 DEG F. 1/2MPT INLET,6987,"6987- Rupture Disk 1/2"" Inlet - 3/8 Outlet 7000PSI 225 Degrees F",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
3305,"(12)10"" SOFT ORANGE WASH BRUSH FOR ACID CLEANING",3305,"Acid Resistant Wash Brush 10"" - Orange",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,3
6651,"(9)DELUXIFIED BIG GUY 28"" SURFACE CLEANER W/WHEELS",6651,"Big Guy 28"" Surface Cleaner",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
6874,"4000 PSI 3/8""x25' BLACK NEPTUNE HOSE",6874,"Black Neptune 25' Pressure Hose 3/8""",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
6538,"(200)HEAVY WT. CHEMICAL STRAINER, BRASS W/CHECK VL",6538,Chemical Strainer (Heavy) Brass,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
6431,(100)4' CLEAR VINYL HOSE W/DETERGENT FILTER,6431,Clear vinyl hose with detergent filter,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,10
20.0033,"DN-15 1/2 "" Heavy Duty Brass Ball Valve",20.0033,DN-15 Ball Valve,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-2
71100,"BackFlip, Brass, 10""",6248542,"Ettore Backflip Window Squeegee, 10 inch, Gold",gtin,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
71140,"BackFlip, Brass, 14""",71140,"Ettore Backflip Window Squeegee, 14 inch, Gold",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
71180,"BackFlip, Brass, 18""",P953436,"Ettore Backflip Window Squeegee, 18 inch, Gold",gtin,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
7011,"STACKRACK FOR 150', 300' & 450' A-FRAME HOSE REELS",7011,GP Hose Reel Stacking Kit,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
7008,"(24)A-FRAME HOSE REEL 3/8""x150' 5000PSI",7008,General Pump A Fram Reel 150',sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-3
7009,"(16)A-FRAME HOSE REEL 3/8""x300' DHRA50300 5000 PSI",7009,General Pump A Fram Reel 300',sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
GA-1G,Gold Assassin 1 Gal,837996B,Gold Assassin 1 gal.,item_name,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,43
GA-5G,Gold Assassin 5 Gal,146543X,Gold Assassin 5 gal.,item_name,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,26
6629,"(10)GREEN NYLON 10"" WASH BRUSH",6629,"Green Wash Brush 10""",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
6963,"(40)HPC SMOOTH 6000 GRAY 3/8""x100' 250 DEG F INTER",6963,HPC Smooth 3/8 x 100' Gray Pressure Hose,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,7
6962,"(90)HPC SMOOTH 6000 GRAY 3/8""x50' 250 DEG F INTERM",6962,HPC Smooth Cover 3/8 x 50' Gray Pressure Hose,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-3
5166,PREMIUM 5000PSI FILTER 1/4FPT IN X 1/4MPT OUT,5166,"High Pressure Filter 1/4"" FPT in 1/4"" MPT out",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
1189,GP SOCKET HEAD SCREW FOR SLIDE HAMMER,1189,LED Road Flare Cone Adapter - 4 Pack,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
22.0294,NICKEL PLATED STEEL UNLOADER MOUNTING BLOCK 1/2 F,22.0294,NICKEL PLATED STEEL UNLOADER MOUNTING BLOCK 1/2 F,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
6791,BRASS NOZZLE UNCLOGGER TOOL,6791,Nozzle opener tool,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,15
NTPP5G,NuTopp 5 Gallon Pail,NTPP5G,NuTopp Roof Rejuvenator,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,12
20031,PSR Paver Sealer Remover Gel Gallon,L495760,PSR Paver Sealer Remover Gel Gallon,item_name,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,47
20021,PSR Paver Sealer Remover Spray Gallon,L832831,PSR Paver Sealer Remover Spray Gallon,item_name,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,48
2396,"(50) ST-601 SPRAY GUN, 12 GPM/4000 PSI",2396,Pressure Spray Gun,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,4
6823,"ST-85 PUSH & PULL 34"" LANCE, 3050PSI",6823,"Push & Pull 34"" Lance",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,4
RAMP208-WHIP-10,"RAMPAGE BEAST 10' Smooth Gray 1/2"" Double Wire 6200 PSI Whip hose",RAMP208-WHIP-10,"RAMPAGE BEAST 10' Gray 1/2"" Double Wire 6200 PSI Whip hose",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
RAMP206-WHIP-10,"RAMPAGE BEAST 10' Smooth Gray 3/8"" Double Wire 7300 PSI Whip hose",RAMP206-WHIP-10,"RAMPAGE BEAST 10' Gray 3/8"" Double Wire 7300 PSI Whip hose",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
RAMP208-100,"RAMPAGE BEAST 100ft Smooth Gray 1/2"" Double Wire Hose 6200 PSI Hose",RAMP208-100,"RAMPAGE BEAST 100' Gray 1/2"" Double Wire 6200 PSI Hose",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,4
RAMP206-100,"RAMPAGE BEAST 100ft Smooth Gray 3/8"" Double Wire Hose 7300 PSI Hose",RAMP206-100,"RAMPAGE BEAST 100' Gray 3/8"" Double Wire 7300 PSI Hose",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-2
RAMP206-WHIP-12,"RAMPAGE BEAST 12' Smooth Gray 3/8"" Double Wire 7300 PSI Whip hose",RAMP206-WHIP-12,"RAMPAGE BEAST 12' Smooth Gray 3/8"" Double Wire 7300 PSI Whip hose",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
RAMP208-WHIP-4,"RAMPAGE BEAST 4' Smooth Gray 1/2"" Double Wire 6200 PSI Whip hose",RAMP208-WHIP-4,"RAMPAGE BEAST 4' Gray 1/2"" Double Wire 6200 PSI Whip hose",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
RAMP206-WHIP-4,"RAMPAGE BEAST 4' Smooth Gray 3/8"" Double Wire 7300 PSI Whip hose",RAMP206-WHIP-4,"RAMPAGE BEAST 4' Gray 3/8"" Double Wire 7300 PSI Whip hose",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
RAMP208-50,"RAMPAGE BEAST 50ft Smooth Gray 1/2"" Double Wire Hose 6200 PSI Hose",RAMP208-50,"RAMPAGE BEAST 50' Gray 1/2"" Double Wire 6200 PSI Hose",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,3
RAMP206-50,"RAMPAGE BEAST 50ft Smooth Gray 3/8"" Double Wire Hose 7300 PSI Hose",RAMP206-50,"RAMPAGE BEAST 50' Gray 3/8"" Double Wire 7300 PSI Hose",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
RAMP208-WHIP-6,"RAMPAGE BEAST 6' Smooth Gray 1/2"" Double Wire 6200 PSI Whip hose",RAMP208-WHIP-6,"RAMPAGE BEAST 6' Gray 1/2"" Double Wire 6200 PSI Whip hose",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
RAMP208-WHIP-8,"RAMPAGE BEAST 8' Smooth Gray 1/2"" Double Wire 6200 PSI Whip hose",RAMP208-WHIP-8,"RAMPAGE BEAST 8' Gray 1/2"" Double Wire 6200 PSI Whip hose",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
RAMP206-WHIP-8,"RAMPAGE BEAST 8' Smooth Gray 3/8"" Double Wire 7300 PSI Whip hose",RAMP206-WHIP-8,"RAMPAGE BEAST 8' Gray 3/8"" Double Wire 7300 PSI Whip hose",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
3943,THERMOSTAT ADJUSTABLE 86-302F 4000PSI 16(4)A-380V,3943,REMOTE THERMOSTAT,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,6
2373,ST49 SEWER NOZZLE ROTATING 1/4FPT 5.5,2373,"Rotating Sewer Nozzle 1/4"" 5.5 gpm",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
6012,ROTOJET 4500 PSI 3.5 NOZZLE,6012,RotoJet Turbo Nozzle 3.5 GPM,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
6013,ROTOJET 4500 PSI 4.0 NOZZLE,6013,RotoJet Turbo Nozzle 4 GPM,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
4803,ROTOJET 3700 PSI 5.5 NOZZLE,4803,RotoJet Turbo Nozzle 5.5GPM,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-4
4818,ROTOJET 5800 PSI 8.0 NOZZLE,4818,RotoJet Turbo Nozzle 8 GPM,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
4539,(50)SUTTNER ST-2605 SPRAY GUN 12GPM 5000PSI RELAX,4539,ST-2605 Relax Action - 12gpm / 5000psi / 300 deg F,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,3
6210,S.S. SEWER NOZZLE 1/4 FPT #4.5 (.7mm orifices),6210,"Sewer Nozzle 1/4"" 4.5 gpm",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,10
6355,S.S. SEWER NOZZLE 1/4 FPT #5.5 (.8mm orifices),6355,"Sewer Nozzle 1/4"" 5.5 gpm",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,3
6200,S.S. SEWER NOZZLE 1/4 FPT #8.0 (1.0mm orifices),6200,"Sewer Nozzle 1/4"" 8 gpm",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
4599,McCAULEY'S SPRAY-FLEX 5000,4599,Spray-Flex,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,3
4654,(50)SUTTNER ST-2305 SPRAY GUN 12GPM 5000PSI EASY P,4654,Suttner ST-2305 Easy Pull Spray Gun,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,4
6955,"(50)ST-2305 SAFETY ORANGE GUN, 12GPM 5 000PSI EASY",6955,Suttner ST-2305 Easy Pull Spray Gun Safety Orange,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
982108,Teflon Tape big roll,932596L,Teflon Tape,item_name,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
11152,"VRT 100 unloader 21 GPM 5075 PSI Green spring 1/2""",11152,"VRT 100 unloader 21 GPM 5075 PSI Green spring 1/2""",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
HF-SS-BG,Big Guy Hydro Flow Spray Bar with Stainless Steel Ends,HF-SS-BG,"Whisper Wash Big Guy Spray bar 28""",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
HF-SS-GF,Ground Force/Aqua Pro Hydro Flow Spray Bar with Stainless Steel Ends,HF-SS-GF,"Whisper Wash Ground Force Spray bar 24""",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
HF-SS-UC16,Ultra Clean 16 Hydro Flow Spray Bar with Stainless Steel Ends,HF-SS-UC16,"Whisper Wash Ultra Clean Spray bar 16""",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
7013,(15)X-JET DS TWIST ADJ. SOAPER NOZZLE 2-3 GPM,7013,X-Jet M5DS Twist 2-3 GPM,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-3
7019,(15)X-JET DS TWIST ADJ. SOAPER NOZZLE 3-7 GPM,7019,X-Jet M5DS Twist 3-7GPM,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-6
7020,(15)X-JET DS TWIST ADJ. SOAPER NOZZLE 7-12 GPM,7020,X-Jet M5DS Twist 7-12GPM,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-2
6245,(10)X-JET M5 VARIABLE NOZZLE #13 KIT,6245,X-jet M5 Jet 4-4.5 GPM #13,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
7032,(10)X-JET M5 VARIABLE NOZZLE #20 KIT,7032,X-jet M5 Jet 7-8 GPM #20,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-2
HFQ-SP-BG,Xforce Stainless Steel Performance 4 tip bar Big Guy,HFQ-SP-BG,Xforce 4 tip bar Big Guy,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,4
